Hisse,Toplam,Temel,Teknik,Öneri,Fiyat (₺),P/E,P/B
SKBNK,24,16,8,Güçlü Al,6.81,4.8,0.8
ARSAN,22,16,6,Güçlü Al,23.90,6.3,0.6
VKGYO,21,16,5,Güçlü Al,2.69,1.1,0.5
PLTUR,21,13,8,Güçlü Al,28.96,9.2,1.0
TBORG,21,13,8,Güçlü Al,171.00,12.1,2.9
SNGYO,20,14,6,Güçlü Al,4.48,3.4,0.4
DOAS,20,12,8,Güçlü Al,204.30,2.5,0.8
ECILC,20,12,8,Güçlü Al,63.60,15.8,0.9
EDIP,20,12,8,Güçlü Al,40.42,3.1,0.5
GSDHO,20,12,8,Güçlü Al,5.02,7.4,0.4
KUTPO,20,12,8,Güçlü Al,99.90,24.6,1.1
MSGYO,20,12,8,Güçlü Al,5.72,27.2,0.7
PRKME,20,12,8,Güçlü Al,20.88,42.6,0.7
QNBTR,20,12,8,Güçlü Al,714.50,58.8,17.2
THYAO,20,12,8,Güçlü Al,338.50,4.0,24.6
ULKER,19,14,5,Al,114.20,6.2,1.3
TCELL,19,12,7,Al,95.20,16.6,0.9
AKSGY,19,11,8,Al,7.53,5.2,0.5
ARTMS,19,11,8,Al,36.94,8.0,1.6
AVHOL,19,11,8,Al,52.00,2.7,1.4
ELITE,19,11,8,Al,37.44,12.6,2.9
HATSN,19,11,8,Al,52.35,12.3,2.3
OYAKC,19,11,8,Al,24.40,14.5,2.3
PETKM,19,11,8,Al,18.59,4.4,0.7
SANKO,19,11,8,Al,24.00,8.5,1.8
SASA,19,11,8,Al,4.27,6.5,1.4
AKBNK,18,15,3,Al,65.85,8.0,1.3
AVPGY,18,14,4,Al,63.00,5.9,0.7
GOKNR,18,14,4,Al,24.80,8.0,1.1
MHRGY,18,14,4,Al,6.08,3.8,0.8
BEGYO,18,13,5,Al,12.81,10.4,2.2
BLCYT,18,13,5,Al,19.33,14.4,0.6
HALKB,18,13,5,Al,26.84,8.3,1.0
NTHOL,18,13,5,Al,51.05,11.1,0.4
PGSUS,18,13,5,Al,256.75,5.9,1.3
TRGYO,18,13,5,Al,70.75,9.0,0.7
LOGO,18,12,6,Al,170.20,14.4,4.4
RYGYO,18,12,6,Al,24.66,2.9,0.8
SELGD,18,12,6,Al,88.00,122.2,6.2
TMSN,18,12,6,Al,127.90,2.6,1.0
ASTOR,18,10,8,Al,116.60,22.6,4.9
ATATP,18,10,8,Al,115.30,29.3,5.8
LIDER,18,10,8,Al,255.75,51.9,6.2
