Hisse,Güncel Fiyat,P/E,P/B,ROE,B/Ö,Gelir↗,Kar🎯,Temettü,1 Aylık,3 Aylık,Volatilite
AKSGY,7.22 ₺,5.0,0.5,0.1%,7.3,0.0%,1.1%,173.0%,3.7%,11.2%,1.8%
GLYHO,9.08 ₺,5.2,1.8,0.3%,349.4,0.2%,0.2%,71.0%,2.7%,9.8%,3.3%
ODAS,6.12 ₺,5.6,0.5,-0.2%,3.2,-0.4%,-0.5%,0.0%,17.2%,19.5%,2.5%
CANTE,2.25 ₺,5.6,0.6,-0.1%,2.6,0.4%,-0.4%,0.0%,42.4%,41.5%,3.6%
GARFA,25.22 ₺,5.9,2.4,0.5%,513.6,0.5%,0.6%,0.0%,6.4%,-1.1%,4.6%
AVPGY,63.00 ₺,5.9,0.7,0.1%,0.0,-0.8%,0.9%,780.0%,-6.2%,18.6%,2.2%
SEKFK,9.17 ₺,6.2,1.2,0.2%,346.9,0.7%,0.3%,204.0%,4.6%,21.9%,2.7%
SRVGY,3.78 ₺,6.2,0.6,0.2%,1.9,0.2%,1.6%,0.0%,21.2%,24.8%,3.8%
ARSAN,23.82 ₺,6.3,0.6,0.1%,0.5,-0.2%,7.2%,0.0%,12.9%,17.8%,2.3%
ULKER,116.40 ₺,6.3,1.2,0.2%,141.5,-0.0%,0.1%,694.0%,5.5%,5.5%,2.5%
AKGRT,6.59 ₺,6.3,2.0,0.0%,3.5,-0.0%,0.1%,0.0%,-4.1%,1.5%,2.5%
MACKO,39.20 ₺,6.5,6.4,0.6%,0.7,0.5%,0.4%,286.0%,4.4%,-6.5%,3.2%
GSDHO,4.57 ₺,6.7,0.4,0.1%,47.4,0.0%,0.2%,0.0%,7.0%,9.6%,2.5%
KATMR,3.16 ₺,6.9,0.5,0.1%,21.7,0.0%,0.5%,0.0%,41.1%,87.0%,4.7%
AGESA,166.50 ₺,7.1,4.3,0.8%,4.8,1.3%,0.1%,338.0%,6.4%,11.9%,2.6%
DZGYO,7.32 ₺,7.4,0.6,0.1%,0.3,-0.8%,1.7%,0.0%,-10.2%,16.6%,3.3%
ARTMS,35.18 ₺,7.6,1.5,0.2%,6.9,-0.2%,0.3%,0.0%,22.2%,16.0%,3.1%
YESIL,2.34 ₺,7.8,1.3,-0.2%,0.0,0.0%,-2.7%,0.0%,27.9%,60.3%,3.5%
VAKFN,2.74 ₺,7.8,1.6,0.4%,359.4,-0.2%,0.8%,0.0%,-6.2%,16.6%,3.6%
