Hisse,Son Hacim,Hacim SMA,Hacim Oranı,Son Fiyat,Hacim Trendi,2 Periyot Artış,Durum,Grafik
SASA,"2,894,866,339","677,339,056",4.27x,₺4.27,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:SASA
TBORG,"2,866,063","697,247",4.11x,₺171.00,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:TBORG
KLSYN,"16,349,659","5,202,703",3.14x,₺6.68,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:KLSYN
SKBNK,"390,731,139","131,684,215",2.97x,₺6.81,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:SKBNK
IZMDC,"17,694,752","6,807,095",2.60x,₺6.45,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:IZMDC
DAGI,"34,282,870","13,351,242",2.57x,₺6.10,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:DAGI
ATAKP,"3,282,154","1,301,112",2.52x,₺52.80,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:ATAKP
YESIL,"250,589,857","103,161,026",2.43x,₺2.37,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:YESIL
KENT,"19,933","8,327",2.39x,₺954.00,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:KENT
VKGYO,"126,206,339","54,482,105",2.32x,₺2.69,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:VKGYO
PLTUR,"9,680,272","4,368,994",2.22x,₺28.96,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:PLTUR
IDGYO,"4,293,812","1,950,466",2.20x,₺4.18,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:IDGYO
PARSN,"871,096","409,682",2.13x,₺92.00,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:PARSN
DOBUR,"506,783","239,332",2.12x,₺522.00,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:DOBUR
KLMSN,"3,120,726","1,482,835",2.10x,₺33.44,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:KLMSN
ALKIM,"5,676,177","2,723,018",2.08x,₺19.69,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:ALKIM
LIDER,"531,970","260,948",2.04x,₺255.75,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:LIDER
NTHOL,"2,135,133","1,055,687",2.02x,₺51.05,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:NTHOL
INTEM,"239,623","119,951",2.00x,₺231.40,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:INTEM
SEYKM,"12,190,288","6,151,162",1.98x,₺5.41,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:SEYKM
SILVR,"1,425,518","727,267",1.96x,₺23.26,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:SILVR
YAPRK,"1,012,890","516,250",1.96x,₺323.00,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:YAPRK
ULUSE,"131,815","68,045",1.94x,₺180.30,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:ULUSE
AYEN,"1,227,871","634,815",1.93x,₺27.70,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:AYEN
BUCIM,"11,824,919","6,212,215",1.90x,₺7.46,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:BUCIM
KRVGD,"39,046,934","20,534,701",1.90x,₺2.37,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:KRVGD
HUBVC,"10,962,295","5,862,196",1.87x,₺2.54,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:HUBVC
BLCYT,"2,252,000","1,214,435",1.85x,₺19.33,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:BLCYT
GRTHO,"1,259,804","692,173",1.82x,₺486.25,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:GRTHO
METUR,"3,094,625","1,729,976",1.79x,₺64.00,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:METUR
MOBTL,"26,849,925","15,025,649",1.79x,₺8.00,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:MOBTL
TAVHL,"4,456,361","2,504,876",1.78x,₺260.25,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:TAVHL
ALARK,"6,526,862","3,676,930",1.78x,₺87.80,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:ALARK
YGYO,"1,506,181","867,253",1.74x,₺6.40,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:YGYO
RGYAS,"1,416,351","812,428",1.74x,₺140.40,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:RGYAS
IMASM,"104,714,667","61,338,866",1.71x,₺4.39,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:IMASM
CANTE,"1,346,200,470","793,326,045",1.70x,₺2.34,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:CANTE
EREGL,"302,846,354","178,028,976",1.70x,₺29.36,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:EREGL
DNISI,"4,303,582","2,534,077",1.70x,₺24.20,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:DNISI
GUBRF,"4,185,364","2,483,711",1.69x,₺270.25,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:GUBRF
GESAN,"10,282,958","6,076,463",1.69x,₺48.92,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:GESAN
GLYHO,"27,576,001","16,485,477",1.67x,₺9.02,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:GLYHO
POLTK,"10,278","6,262",1.64x,₺7542.50,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:POLTK
GOLTS,"384,317","235,595",1.63x,₺338.75,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:GOLTS
CEOEM,"5,598,190","3,497,182",1.60x,₺38.10,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:CEOEM
ECILC,"13,112,254","8,241,344",1.59x,₺63.60,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:ECILC
ARZUM,"16,442,904","10,366,263",1.59x,₺5.34,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:ARZUM
AKSA,"25,634,000","16,368,703",1.57x,₺9.93,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:AKSA
ALGYO,"3,499,034","2,245,033",1.56x,₺21.44,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:ALGYO
KUTPO,"749,728","489,782",1.53x,₺99.90,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:KUTPO
KORDS,"1,484,477","972,651",1.53x,₺63.75,2 Periyot Artış ✓,✅,✅ Her İki Kriter,https://www.tradingview.com/chart/?symbol=BIST:KORDS
